dataset,metric,k,vote,retention,num_folds,n_train_mean,n_test_mean,fit_time_s_mean,fit_time_s_std,predict_time_s_mean,predict_time_s_std,total_time_s_mean,total_time_s_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,confusion_matrix_json
pen-based,euclidean,3,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.001799409996601753,0.00022463243757168806,0.22010496000293642,0.0038568972811104363,0.22190436999953816,0.003862219454437593,0.9938150267330862,0.0018511033472840292,0.9939047639674683,0.0017959898177796084,0.9938028082173263,0.0017834426524829217,0.9938229986843707,0.0017964400931435032,0.9938762769324935,0.0018405703141761932,0.9938150267330862,0.0018511033472840292,0.9938147142768887,0.0018536465171008416,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1128, 10, 4, 1, 0, 0, 0, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1142, 1, 0, 0, 0, 1], [0, 0, 0, 5, 0, 1047, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1054, 1, 0, 0], [0, 3, 2, 0, 0, 0, 0, 1134, 1, 2], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 1, 0, 0, 3, 3, 0, 3, 1, 1044]]}"
pen-based,euclidean,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.0017718699935358017,0.00013569480118621417,0.22104959000716917,0.0029855431015767945,0.22282146000070496,0.00298931958429424,0.9926323771410939,0.001964946369141058,0.9927424764059152,0.0019356447469266276,0.9926448846964652,0.0019460283379315814,0.9926610696676941,0.0019379634304138324,0.9927060853088499,0.001964920776985162,0.9926323771410939,0.001964946369141058,0.9926364312667767,0.0019624028991442645,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1122, 11, 7, 1, 0, 0, 2, 0, 0], [0, 2, 1141, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1138, 4, 0, 1, 0, 1], [0, 0, 0, 4, 0, 1048, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1054, 1, 0, 0], [0, 5, 1, 1, 0, 0, 0, 1135, 0, 0], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 2, 0, 2, 3, 3, 0, 4, 1, 1040]]}"
pen-based,euclidean,7,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.001708719992893748,0.00015557714536735295,0.22084961000073236,0.003946878963891576,0.2225583299936261,0.003970666542018775,0.991903530777509,0.0015440848565082264,0.9920352197258261,0.0015741645979255655,0.9919098929924306,0.0015458052145409366,0.9919363031108233,0.0015531397657944266,0.9919795250107049,0.0015481319796685274,0.991903530777509,0.0015440848565082264,0.9919050591308359,0.0015388686504950236,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1119, 13, 7, 2, 0, 0, 2, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1136, 5, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1049, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1054, 1, 0, 0], [0, 4, 2, 0, 0, 0, 0, 1136, 0, 0], [2, 0, 0, 0, 0, 1, 0, 7, 1045, 0], [0, 2, 0, 2, 3, 4, 0, 4, 1, 1039]]}"
pen-based,cosine,3,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.0016889899969100952,0.00017424434404314182,0.25074152000597677,0.0038722039277687683,0.25243051000288685,0.003871932426223266,0.9939960187664182,0.0017804115139989267,0.9940496191351638,0.001762693256206821,0.9940013035048656,0.0017441448619535487,0.9939991138321094,0.0017598506681638872,0.9940483276934156,0.00177151568897133,0.9939960187664182,0.0017804115139989267,0.993995882786253,0.001782560998630634,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1129, 9, 4, 1, 0, 0, 0, 0, 0], [0, 2, 1141, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1141, 1, 0, 0, 0, 2], [0, 0, 0, 5, 0, 1047, 0, 0, 1, 2], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 2, 3, 0, 0, 0, 0, 1133, 2, 2], [1, 0, 0, 0, 0, 1, 0, 2, 1051, 0], [0, 1, 0, 0, 1, 3, 0, 3, 1, 1046]]}"
pen-based,cosine,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.001642929998342879,9.173055239071548e-05,0.24934902000240983,0.0016218538445481464,0.2509919500007527,0.0016031496102769129,0.9933602313134304,0.001989953798941127,0.9934465520343247,0.0019598679631512178,0.9934003980418643,0.0019498970534690253,0.9933974839974413,0.0019542752857391646,0.9934195527222665,0.001990633987255302,0.9933602313134304,0.001989953798941127,0.9933638613913731,0.001989803831309074,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1124, 10, 7, 1, 0, 0, 1, 0, 0], [0, 3, 1140, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1138, 4, 0, 1, 0, 1], [0, 0, 0, 4, 0, 1049, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 4, 2, 1, 0, 0, 0, 1134, 1, 0], [1, 0, 0, 0, 0, 1, 0, 4, 1049, 0], [0, 2, 0, 0, 0, 2, 0, 3, 1, 1047]]}"
pen-based,cosine,7,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.001708279995364137,0.00014972821054994143,0.2501401300047291,0.002519513767815593,0.2518484100000933,0.0025251757255177437,0.9928129554225599,0.0013763643735601565,0.9929130519794581,0.0013786828866252248,0.9928458040096139,0.0013542114980064268,0.992845697521636,0.0013632359950988663,0.9928863211534754,0.001372493585376819,0.9928129554225599,0.0013763643735601565,0.9928156400375918,0.001371214288264727,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1122, 12, 6, 1, 0, 0, 2, 0, 0], [0, 2, 1141, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1135, 6, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1048, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 3, 2, 1, 0, 0, 0, 1136, 0, 0], [1, 1, 0, 0, 0, 1, 0, 4, 1048, 0], [0, 1, 0, 0, 0, 4, 0, 4, 1, 1045]]}"
pen-based,heom,3,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.0016926500014960767,0.000122327275007627,0.3471718099957798,0.002161354727698739,0.34886445999727583,0.002137542321446348,0.9938150267330862,0.0018511033472840292,0.9939047639674683,0.0017959898177796084,0.9938028082173263,0.0017834426524829217,0.9938229986843707,0.0017964400931435032,0.9938762769324935,0.0018405703141761932,0.9938150267330862,0.0018511033472840292,0.9938147142768887,0.0018536465171008416,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1128, 10, 4, 1, 0, 0, 0, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1142, 1, 0, 0, 0, 1], [0, 0, 0, 5, 0, 1047, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1054, 1, 0, 0], [0, 3, 2, 0, 0, 0, 0, 1134, 1, 2], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 1, 0, 0, 3, 3, 0, 3, 1, 1044]]}"
pen-based,heom,5,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.0017474800057243555,0.00015410825820056645,0.34456549999595154,0.002966538701274897,0.3463129800016759,0.002898461829846075,0.9926323771410939,0.001964946369141058,0.9927424764059152,0.0019356447469266276,0.9926448846964652,0.0019460283379315814,0.9926610696676941,0.0019379634304138324,0.9927060853088499,0.001964920776985162,0.9926323771410939,0.001964946369141058,0.9926364312667767,0.0019624028991442645,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1122, 11, 7, 1, 0, 0, 2, 0, 0], [0, 2, 1141, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1138, 4, 0, 1, 0, 1], [0, 0, 0, 4, 0, 1048, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1054, 1, 0, 0], [0, 5, 1, 1, 0, 0, 0, 1135, 0, 0], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 2, 0, 2, 3, 3, 0, 4, 1, 1040]]}"
pen-based,heom,7,modified_plurality,RetentionPolicy.ALWAYS_RETAIN,10,9892.8,1099.2,0.0016791899950476363,0.00016250680732332582,0.34516129000112417,0.005091832598835519,0.3468404799961718,0.0050622183709528356,0.991903530777509,0.0015440848565082264,0.9920352197258261,0.0015741645979255655,0.9919098929924306,0.0015458052145409366,0.9919363031108233,0.0015531397657944266,0.9919795250107049,0.0015481319796685274,0.991903530777509,0.0015440848565082264,0.9919050591308359,0.0015388686504950236,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1119, 13, 7, 2, 0, 0, 2, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1136, 5, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1049, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1054, 1, 0, 0], [0, 4, 2, 0, 0, 0, 0, 1136, 0, 0], [2, 0, 0, 0, 0, 1, 0, 7, 1045, 0], [0, 2, 0, 2, 3, 4, 0, 4, 1, 1039]]}"
pen-based,euclidean,3,modified_plurality,RetentionPolicy.NEVER_RETAIN,10,9892.8,1099.2,0.0017725500045344233,0.00011519743148540741,0.18963505999709013,0.00410942416105833,0.19140761000162457,0.004158110323250452,0.9937239520518476,0.0018357553623534208,0.993823713700505,0.001781085832675371,0.9937232347964896,0.0017672108962401673,0.9937397356478259,0.0017815117555987751,0.9937921243193658,0.0018240031193519533,0.9937239520518476,0.0018357553623534208,0.9937240143530139,0.0018385467707640346,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1127, 12, 3, 1, 0, 0, 0, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1141, 2, 0, 0, 0, 1], [0, 0, 0, 5, 0, 1047, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 3, 2, 0, 0, 0, 0, 1134, 1, 2], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 1, 0, 0, 3, 3, 0, 3, 1, 1044]]}"
