config_id,feature_weighting_method,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,0,10,43958,4884,0.063450500019826,53.029627299983986,53.09307780000381,0.7874692874692875,0.7043783642701908,0.6639013455496237,0.6779647666371582,0.7715369326717465,0.7874692874692875,0.775857501903521,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3347, 368], [670, 499]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,1,10,43959,4883,0.10392429999774322,53.25046780001139,53.354392100009136,0.792135981978292,0.7120967769431933,0.6720344217260643,0.6863293506851207,0.7773319306150002,0.792135981978292,0.7813538534720416,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3352, 363], [652, 516]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,2,10,43957,4885,0.06721060001291335,52.409370100009255,52.47658070002217,0.7926305015353122,0.7129821973224695,0.6821490607493299,0.6941447994995562,0.7805730390102603,0.7926305015353122,0.7845654747091517,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3322, 393], [620, 550]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,3,10,43958,4884,0.06189070001710206,60.10311999998521,60.16501070000231,0.7899262899262899,0.7082601301257223,0.6708610119881446,0.6844166444143268,0.7753844446972856,0.7899262899262899,0.7796144407190301,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3341, 375], [651, 517]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,4,10,43957,4885,0.06310989998746663,50.79163399996469,50.854743899952155,0.7975435005117707,0.7218199759823893,0.6757847138262304,0.691729887499385,0.782527504146171,0.7975435005117707,0.7858973481361936,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3379, 337], [652, 517]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,5,10,43958,4884,0.06226900004548952,50.88254169997526,50.94481070002075,0.7862407862407862,0.7020520463143414,0.660807301266644,0.6749250189285606,0.7697644545632623,0.7862407862407862,0.7741666477289634,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3349, 367], [677, 491]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,6,10,43958,4884,0.06325359997572377,51.03511300001992,51.09836659999564,0.7940212940212941,0.7151386481303852,0.6808126488802821,0.6938182914958666,0.7811594293395416,0.7940212940212941,0.7851271119789512,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3336, 379], [627, 542]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,7,10,43958,4884,0.06587169994600117,78.29630030004773,78.36217199999373,0.7977067977067978,0.7214049773755655,0.6803769703761594,0.6952364495132768,0.7837981218569453,0.7977067977067978,0.7874308164614021,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3364, 352], [636, 532]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,8,10,43958,4884,0.11975979997077957,65.87784460000694,65.99760439997772,0.7901310401310402,0.7087098688704494,0.6674732183670761,0.6818828397775767,0.7745705496234605,0.7901310401310402,0.7786944980789543,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3354, 362], [663, 505]]}"
c-k7-b-al-re,relieff,cosine,7,borda,always_retain,9,10,43957,4885,0.06236669997451827,50.96863439999288,51.0310010999674,0.7840327533265097,0.6989929520039508,0.6674207129792594,0.6792576855271182,0.7702092384027375,0.7840327533265097,0.7747636122998444,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3311, 404], [651, 519]]}"
