config_id,kernel,c,gamma,degree,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,0,10,43958,4884,13.230979442596436,4.2950053215026855,17.52598476409912,0.8243243243243243,0.814965997316176,0.662625450886345,0.6918918298916845,0.8211418139472662,0.8243243243243243,0.7971926202806604,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3614, 101], [757, 412]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,1,10,43959,4883,13.12177324295044,4.285101890563965,17.406875133514404,0.830636903542904,0.8180919960486459,0.678847208650602,0.7099212574443174,0.8266056862665716,0.830636903542904,0.8075284798611745,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3603, 112], [715, 453]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,2,10,43957,4885,13.068408250808716,4.307530641555786,17.375938892364502,0.8296827021494371,0.8218607709908552,0.6743060588282661,0.7053836322178226,0.827098028238577,0.8296827021494371,0.8050814364964103,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3613, 102], [730, 440]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,3,10,43958,4884,13.1110098361969,4.2916741371154785,17.402683973312378,0.8267813267813268,0.8092495401331596,0.6730659347951105,0.7028662983775045,0.8211301232128217,0.8267813267813268,0.8029726688191465,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3596, 120], [726, 442]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,4,10,43957,4885,13.147117853164673,4.291464328765869,17.438582181930542,0.8280450358239508,0.8090315798255556,0.6773639020590221,0.7073693795152576,0.8220252134257469,0.8280450358239508,0.8053486261261094,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3591, 125], [715, 454]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,5,10,43958,4884,13.040930271148682,4.290574789047241,17.331505060195923,0.8278050778050778,0.8142447506432506,0.6728581144845688,0.7031385208876608,0.8233805818458778,0.8278050778050778,0.8035019923017457,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3604, 112], [729, 439]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,6,10,43958,4884,12.867572784423828,4.237866640090942,17.10543942451477,0.8282145782145782,0.8114035087719298,0.6763214582179613,0.7065213070703805,0.8228353952038163,0.8282145782145782,0.8050367501015816,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3595, 120], [719, 450]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,7,10,43958,4884,12.914600372314453,4.27233099937439,17.186931371688843,0.8286240786240786,0.8139976323631466,0.6754510299777342,0.705893859971678,0.8239041143070208,0.8286240786240786,0.8050116403603679,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3601, 115], [722, 446]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,8,10,43958,4884,12.917894840240479,4.287326335906982,17.20522117614746,0.8370188370188371,0.8338750985027581,0.6874253505758143,0.7206807242696549,0.8360077517878935,0.8370188370188371,0.8147256199818745,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3620, 96], [700, 468]]}"
svm-rbf-c0.1-g0.01-d3,rbf,0.1,0.01,3,9,10,43957,4885,13.152860164642334,4.296818971633911,17.449679136276245,0.8290685772773797,0.8140091798856912,0.6774154214261886,0.7079334399214545,0.8242376737105771,0.8290685772773797,0.8059273765301099,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3598, 117], [718, 452]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,0,10,43958,4884,17.799532413482666,4.525944232940674,22.32547664642334,0.8306715806715806,0.8075947091247571,0.6867303270789703,0.7167960531892792,0.823700442391811,0.8306715806715806,0.8104115174998828,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3577, 138], [689, 480]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,1,10,43959,4883,18.011999130249023,4.558415174484253,22.570414304733276,0.8322752406307597,0.8089050014089423,0.6904896614981839,0.7207335771691263,0.8253254150083821,0.8322752406307597,0.812793401160306,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3575, 140], [679, 489]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,2,10,43957,4885,18.095589876174927,4.54252028465271,22.638110160827637,0.8307062436028659,0.8019219134024439,0.6919591400075922,0.7211438699651787,0.8223902342630403,0.8307062436028659,0.8122073059246542,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3560, 155], [672, 498]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,3,10,43958,4884,17.853917121887207,4.512017011642456,22.365934133529663,0.8273955773955773,0.7944867025706512,0.6869719244437236,0.7152537365230558,0.8178959189452777,0.8273955773955773,0.8084796453462809,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3553, 163], [680, 488]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,4,10,43957,4885,20.193830013275146,4.473820924758911,24.667650938034058,0.832343909928352,0.8015096208322263,0.697486121099336,0.7263768561975841,0.8237385861104127,0.832343909928352,0.8151591212805663,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3553, 163], [656, 513]]}"
