dataset,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,0,10,43958,4884,0.06921860000147717,52.74114369999734,52.810362299998815,0.759009009009009,0.6735946728086242,0.6827135960726116,0.6777086569837254,0.7657408168620901,0.759009009009009,0.762091329733979,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3080, 635], [542, 627]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,1,10,43959,4883,0.06151699999827542,51.57415630000105,51.635673299999326,0.755273397501536,0.6666119324960122,0.671874711923155,0.6690876096094819,0.7592753511948506,0.755273397501536,0.7571755717928935,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3090, 625], [570, 598]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,2,10,43957,4885,0.06018430000040098,51.290029499999946,51.35021380000035,0.7570112589559878,0.6694084247747274,0.6751250992166201,0.6720870050034979,0.7612704820434986,0.7570112589559878,0.7590267581447233,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3092, 623], [564, 606]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,3,10,43958,4884,0.0627186999990954,51.020907800000714,51.08362649999981,0.7618755118755118,0.6750794747351346,0.680018929619417,0.6774224655144361,0.765347353361127,0.7618755118755118,0.7635314539610232,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3110, 606], [557, 611]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,4,10,43957,4885,0.06089870000141673,50.70341159999953,50.76431030000094,0.7529170931422723,0.6637842155377354,0.6693187897617037,0.6663742445360828,0.7572471382461567,0.7529170931422723,0.7549693552273868,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3083, 633], [574, 595]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,5,10,43958,4884,0.06499339999936637,50.69822070000009,50.76321409999946,0.7463144963144963,0.6532421296353927,0.6559970213958152,0.6545713943701987,0.7486356896910468,0.7463144963144963,0.7474444272482561,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3081, 635], [604, 564]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,6,10,43958,4884,0.06555830000070273,50.66641339999842,50.73197169999912,0.7571662571662572,0.6696244454164844,0.6756397606632534,0.6724334961997829,0.7616481666034876,0.7571662571662572,0.7592811650486733,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3091, 624], [562, 607]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,7,10,43958,4884,0.06307620000006864,50.85470070000156,50.91777690000163,0.7583947583947583,0.6687207079723678,0.6700997721810166,0.6693999070690615,0.7593911367327849,0.7583947583947583,0.7588864426562263,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3119, 597], [583, 585]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,8,10,43958,4884,0.0630514000004041,50.88715020000018,50.95020160000058,0.7571662571662572,0.6676403698710354,0.670173039208458,0.6688713615959598,0.759031379818241,0.7571662571662572,0.7580765138216211,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3110, 606], [580, 588]]}"
adult,cosine,3,borda,RetentionPolicy.ALWAYS_RETAIN,9,10,43957,4885,0.0659008000002359,51.05891360000169,51.124814400001924,0.7494370522006141,0.6600747114776403,0.6666321565379438,0.6630938809621368,0.7547965595159446,0.7494370522006141,0.7519508849257133,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3067, 648], [576, 594]]}"
adult,cosine,3,borda,RetentionPolicy.NEVER_RETAIN,0,10,43958,4884,0.06315629999880912,46.82126860000062,46.88442489999943,0.7596232596232596,0.6742485278409247,0.6831173645786681,0.6782644802463539,0.766118378693767,0.7596232596232596,0.7626046481183418,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3083, 632], [542, 627]]}"
adult,cosine,3,borda,RetentionPolicy.NEVER_RETAIN,1,10,43959,4883,0.05886069999905885,46.80795460000081,46.86681529999987,0.7524063075977883,0.6633307780333078,0.6694034735153671,0.6661525111312241,0.7571972959483809,0.7524063075977883,0.7546651701160504,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3078, 637], [572, 596]]}"
adult,cosine,3,borda,RetentionPolicy.NEVER_RETAIN,2,10,43957,4885,0.05998650000037742,47.2952363000004,47.355222800000774,0.7578300921187308,0.6706938348394684,0.6768345009260218,0.6735588703794931,0.7623688140770554,0.7578300921187308,0.7599691279646502,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3092, 623], [560, 610]]}"
