dataset,metric,k,vote,retention,fold_id,num_folds,f1_macro
adult,euclidean,3,borda,ALWAYS_RETAIN,0,10,0.842
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,0,10,0.828
adult,heom,7,borda,DIFF_CLASS_RETAIN,0,10,0.782
adult,euclidean,7,modified_plurality,NEVER_RETAIN,0,10,0.752
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,0,10,0.712
adult,heom,5,modified_plurality,NEVER_RETAIN,0,10,0.672

adult,euclidean,3,borda,ALWAYS_RETAIN,1,10,0.836
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,1,10,0.821
adult,heom,7,borda,DIFF_CLASS_RETAIN,1,10,0.777
adult,euclidean,7,modified_plurality,NEVER_RETAIN,1,10,0.746
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,1,10,0.707
adult,heom,5,modified_plurality,NEVER_RETAIN,1,10,0.668

adult,euclidean,3,borda,ALWAYS_RETAIN,2,10,0.844
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,2,10,0.829
adult,heom,7,borda,DIFF_CLASS_RETAIN,2,10,0.784
adult,euclidean,7,modified_plurality,NEVER_RETAIN,2,10,0.754
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,2,10,0.714
adult,heom,5,modified_plurality,NEVER_RETAIN,2,10,0.674

adult,euclidean,3,borda,ALWAYS_RETAIN,3,10,0.838
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,3,10,0.823
adult,heom,7,borda,DIFF_CLASS_RETAIN,3,10,0.778
adult,euclidean,7,modified_plurality,NEVER_RETAIN,3,10,0.748
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,3,10,0.709
adult,heom,5,modified_plurality,NEVER_RETAIN,3,10,0.669

adult,euclidean,3,borda,ALWAYS_RETAIN,4,10,0.841
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,4,10,0.826
adult,heom,7,borda,DIFF_CLASS_RETAIN,4,10,0.781
adult,euclidean,7,modified_plurality,NEVER_RETAIN,4,10,0.751
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,4,10,0.711
adult,heom,5,modified_plurality,NEVER_RETAIN,4,10,0.671

adult,euclidean,3,borda,ALWAYS_RETAIN,5,10,0.835
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,5,10,0.820
adult,heom,7,borda,DIFF_CLASS_RETAIN,5,10,0.776
adult,euclidean,7,modified_plurality,NEVER_RETAIN,5,10,0.746
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,5,10,0.706
adult,heom,5,modified_plurality,NEVER_RETAIN,5,10,0.667

adult,euclidean,3,borda,ALWAYS_RETAIN,6,10,0.843
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,6,10,0.829
adult,heom,7,borda,DIFF_CLASS_RETAIN,6,10,0.783
adult,euclidean,7,modified_plurality,NEVER_RETAIN,6,10,0.753
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,6,10,0.713
adult,heom,5,modified_plurality,NEVER_RETAIN,6,10,0.673

adult,euclidean,3,borda,ALWAYS_RETAIN,7,10,0.837
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,7,10,0.822
adult,heom,7,borda,DIFF_CLASS_RETAIN,7,10,0.777
adult,euclidean,7,modified_plurality,NEVER_RETAIN,7,10,0.747
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,7,10,0.708
adult,heom,5,modified_plurality,NEVER_RETAIN,7,10,0.668

adult,euclidean,3,borda,ALWAYS_RETAIN,8,10,0.840
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,8,10,0.825
adult,heom,7,borda,DIFF_CLASS_RETAIN,8,10,0.780
adult,euclidean,7,modified_plurality,NEVER_RETAIN,8,10,0.750
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,8,10,0.710
adult,heom,5,modified_plurality,NEVER_RETAIN,8,10,0.670

adult,euclidean,3,borda,ALWAYS_RETAIN,9,10,0.839
adult,cosine,5,modified_plurality,ALWAYS_RETAIN,9,10,0.824
adult,heom,7,borda,DIFF_CLASS_RETAIN,9,10,0.779
adult,euclidean,7,modified_plurality,NEVER_RETAIN,9,10,0.749
adult,cosine,3,borda,DEGREE_OF_DISAGREEMENT_RETAIN,9,10,0.709
adult,heom,5,modified_plurality,NEVER_RETAIN,9,10,0.669
