dataset,metric,k,vote,retention
pen-based,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN
pen-based,euclidean,5,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION
pen-based,heom,5,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION
pen-based,heom,5,borda,RetentionPolicy.DD_RETENTION
pen-based,euclidean,5,borda,RetentionPolicy.DD_RETENTION
pen-based,euclidean,5,borda,RetentionPolicy.NEVER_RETAIN
pen-based,heom,5,borda,RetentionPolicy.NEVER_RETAIN
pen-based,cosine,5,borda,RetentionPolicy.NEVER_RETAIN
pen-based,cosine,5,borda,RetentionPolicy.DD_RETENTION
pen-based,cosine,5,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION
