dataset,split,kernel,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,0,rbf,43958,4884,66.08776569366455,13.60496973991394,79.69273543357849,0.811015561015561,0.8183996771696653,0.6242713573046179,0.6451714289424997,0.8138498321240821,0.811015561015561,0.7716282005082422,"[[3650, 65], [858, 311]]"
adult,1,rbf,43959,4883,65.85439395904541,14.076464414596558,79.93085837364197,0.8165062461601474,0.8205181716379926,0.6378633225170081,0.6627606471047089,0.8179932459666134,0.8165062461601474,0.7815322700328866,"[[3642, 73], [823, 345]]"
adult,2,rbf,43957,4885,65.04513216018677,14.652294397354126,79.6974265575409,0.813510747185261,0.8170733665292547,0.6317625473076348,0.6548568270484271,0.8148505505865079,0.813510747185261,0.7767693351245871,"[[3643, 72], [839, 331]]"
adult,3,rbf,43958,4884,71.19951915740967,19.08834934234619,90.28786849975586,0.8163390663390664,0.8317801876530952,0.6330349506760842,0.6569670152761503,0.822207443831162,0.8163390663390664,0.7789495884537744,"[[3658, 58], [839, 329]]"
adult,4,rbf,43957,4885,96.45138669013977,19.16399121284485,115.61537790298462,0.8145342886386898,0.8177061142174182,0.6338901851839915,0.6576299050914924,0.8157197262781457,0.8145342886386898,0.7784752225679701,"[[3643, 73], [833, 336]]"
adult,5,rbf,43958,4884,100.04817843437195,16.152501106262207,116.20067954063416,0.8108108108108109,0.8154996728054595,0.6244120205848092,0.6453460080348554,0.8126026746574564,0.8108108108108109,0.7717261991239245,"[[3648, 68], [856, 312]]"
adult,6,rbf,43958,4884,95.94131278991699,20.202784776687622,116.14409756660461,0.814086814086814,0.8142550960161973,0.6342046151880051,0.657909742587162,0.8141494113116563,0.814086814086814,0.7784027195684087,"[[3638, 77], [831, 338]]"
adult,7,rbf,43958,4884,106.05733132362366,17.12583875656128,123.18317008018494,0.8167485667485668,0.8307004169492505,0.6344781728770073,0.65879816818614,0.8220256208752285,0.8167485667485668,0.7799109023230835,"[[3656, 60], [835, 333]]"
adult,8,rbf,43958,4884,71.5780565738678,14.500128030776978,86.07818460464478,0.8204340704340705,0.8341174948170396,0.6427707101464235,0.6694207043298701,0.8255172566996727,0.8204340704340705,0.785986004794427,"[[3654, 62], [815, 353]]"
adult,9,rbf,43957,4885,92.0705451965332,16.683873414993286,108.75441861152649,0.8200614124872058,0.8370765401806045,0.6413391080282063,0.6676629236597956,0.8264394731259005,0.8200614124872058,0.7849102495563369,"[[3657, 58], [821, 349]]"
adult,0,poly,43958,4884,53.71084666252136,3.4226162433624268,57.13346290588379,0.8175675675675675,0.8222110584651832,0.640303281151598,0.6658435702068107,0.81928183947972,0.8175675675675675,0.7832210534278642,"[[3642, 73], [818, 351]]"
adult,1,poly,43959,4883,50.82282853126526,3.6210532188415527,54.44388175010681,0.8183493753839852,0.8134578248088429,0.6461184525894652,0.6725995861404288,0.8165968470600113,0.8183493753839852,0.7865421009358057,"[[3627, 88], [799, 369]]"
adult,2,poly,43957,4885,49.336419343948364,3.4120304584503174,52.74844980239868,0.818014329580348,0.8169867901609476,0.64409186596266,0.6702613640893448,0.8176413803542828,0.818014329580348,0.7852556445708749,"[[3633, 82], [807, 363]]"
adult,3,poly,43958,4884,56.270103216171265,4.842249155044556,61.11235237121582,0.8192055692055692,0.8236711992997396,0.6437245638999071,0.6701758352174743,0.8208393363131926,0.8192055692055692,0.7858407033873389,"[[3642, 74], [809, 359]]"
adult,4,poly,43957,4885,72.23139023780823,5.226927757263184,77.45831799507141,0.8188331627430911,0.8167345072854637,0.6460970109603951,0.6727192165595004,0.8180772039572992,0.8188331627430911,0.7867364411090118,"[[3632, 84], [801, 368]]"
adult,5,poly,43958,4884,78.9882640838623,4.33502984046936,83.32329392433167,0.8183865683865684,0.8197949508552034,0.6431863507675066,0.6693454967192976,0.8189000484786244,0.8183865683865684,0.7851602727510775,"[[3638, 78], [809, 359]]"
adult,6,poly,43958,4884,64.53253412246704,4.390826225280762,68.9233603477478,0.8177723177723177,0.8070258203913049,0.648059159512162,0.6745427623658117,0.8139807218483611,0.8177723177723177,0.7870929006574673,"[[3617, 98], [792, 377]]"
adult,7,poly,43958,4884,63.62491750717163,4.328971862792969,67.9538893699646,0.8208435708435708,0.8239446206624284,0.6480298081601958,0.6754409381872007,0.8219643011289826,0.8208435708435708,0.788774039443986,"[[3639, 77], [798, 370]]"
adult,8,poly,43958,4884,64.00138235092163,4.334598541259766,68.3359808921814,0.8235053235053235,0.8244107240983717,0.65506252119675,0.6838607067389355,0.8238257949119906,0.8235053235053235,0.7934769986430503,"[[3634, 82], [780, 388]]"
adult,9,poly,43957,4885,114.22087812423706,2.8768975734710693,117.09777569770813,0.8233367451381781,0.83098027037596,0.6522753678204554,0.6808550100461568,0.8260963206571161,0.8233367451381781,0.791950603124954,"[[3643, 72], [791, 379]]"
