dataset,split,kernel,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
pen-based,0,rbf,9894,1098,1.1669507026672363,0.4318263530731201,1.5987770557403564,0.9954462659380692,0.9954938659117467,0.9953402373859175,0.9953960440337509,0.9954610338679748,0.9954462659380692,0.99543284005093,"[[115, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 113, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 105, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 115, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1, 103, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 104]]"
pen-based,0,poly,9894,1098,0.7602791786193848,0.13527941703796387,0.8955585956573486,0.9954462659380692,0.995503023420904,0.9954064406298766,0.9954345778727944,0.995469874450586,0.9954462659380692,0.9954376594497987,"[[115, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 112, 1, 0, 1, 0, 0, 0, 0, 0], [0, 0, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 105, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 115, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1, 104, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 104]]"
pen-based,1,rbf,9893,1099,0.7320683002471924,0.37346315383911133,1.1055314540863037,0.9945404913557779,0.9947771800656107,0.9945189059605536,0.9946006055798524,0.9946503654503516,0.9945404913557779,0.9945473001790228,"[[114, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 114, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 112, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 103, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 115, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 104, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 106]]"
pen-based,1,poly,9893,1099,0.7738296985626221,0.07990884780883789,0.85373854637146,0.9954504094631483,0.9955283211859068,0.9954037267080746,0.9954369665360622,0.9955067863216118,0.9954504094631483,0.9954497011856543,"[[114, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 114, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 103, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 114, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 104, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 106]]"
pen-based,2,rbf,9895,1097,0.7160842418670654,0.29848170280456543,1.0145659446716309,0.9954421148587056,0.9954140683949413,0.9955617304129889,0.9954758170011425,0.9954592448923224,0.9954421148587056,0.9954384562214955,"[[113, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 113, 0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 104, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 105, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 105]]"
pen-based,2,poly,9895,1097,0.734473466873169,0.08086609840393066,0.8153395652770996,0.9945305378304466,0.9944793210168861,0.994609349460608,0.9945279071209248,0.9945645459434088,0.9945305378304466,0.9945311587062459,"[[113, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 113, 0, 1, 1, 0, 0, 0, 0, 0], [0, 1, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 104, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 104, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 105, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 105]]"
pen-based,3,rbf,9892,1100,0.6201350688934326,0.25562620162963867,0.8757612705230713,0.9881818181818182,0.9881555567343165,0.9881862161556476,0.9881505494780045,0.9882243360356477,0.9881818181818182,0.988182852469073,"[[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 110, 0, 3, 0, 0, 0, 1, 0, 0], [0, 0, 114, 0, 0, 0, 0, 1, 0, 0], [0, 1, 1, 103, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 115, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 103, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 113, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 106, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0, 104]]"
pen-based,3,poly,9892,1100,0.6360569000244141,0.07734084129333496,0.713397741317749,0.99,0.9900767996169183,0.989999177599454,0.9900088424271709,0.9900590128530832,0.99,0.9900007234893352,"[[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 110, 0, 3, 0, 0, 0, 1, 0, 0], [0, 0, 114, 0, 0, 0, 0, 1, 0, 0], [0, 1, 1, 103, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 115, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 103, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 106, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 105]]"
pen-based,4,rbf,9894,1098,0.6675639152526855,0.2895646095275879,0.9571285247802734,0.9918032786885246,0.9921250157925827,0.9918606195554514,0.9918775315035566,0.9920536015046836,0.9918032786885246,0.9918098612839111,"[[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 110, 4, 1, 0, 0, 0, 0, 0, 0], [0, 0, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 104, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 104, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 105, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 104]]"
pen-based,4,poly,9894,1098,0.649587869644165,0.09963560104370117,0.7492234706878662,0.9899817850637522,0.9903180621265587,0.9901214891206689,0.9900539442253207,0.9902555934049082,0.9899817850637522,0.9899470149043679,"[[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 108, 4, 1, 0, 0, 0, 1, 0, 1], [0, 0, 114, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 104, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 104, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 105, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 104]]"
