dataset,fold,metric,k,vote,retention,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,0,euclidean,3,modified_plurality,never_retain,43958,4884,0.00536409999767784,118.19168030000583,118.1970444000035,0.8179770679770679,0.7506591553989483,0.7355454443928908,0.7424354873527289,0.8131195801161104,0.8179770679770679,0.8151496137306372,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3320, 395], [494, 675]]}"
adult,0,euclidean,5,modified_plurality,never_retain,43958,4884,0.005437100000563078,111.67911969999841,111.68455679999897,0.8235053235053235,0.759279639894832,0.7391793609473996,0.7481129447443418,0.8177208802351863,0.8235053235053235,0.819950143967942,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3347, 368], [494, 675]]}"
adult,0,euclidean,7,modified_plurality,never_retain,43958,4884,0.007082299998728558,113.24676650000038,113.2538487999991,0.8286240786240786,0.7672124417397184,0.7445959839597867,0.7545532212702672,0.8226571323452437,0.8286240786240786,0.8248418544505892,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3365, 350], [487, 682]]}"
adult,1,euclidean,3,modified_plurality,never_retain,43959,4883,0.005350799998268485,112.06751649999933,112.0728672999976,0.820806881015769,0.7554528760802726,0.7331398993344274,0.7428970815084173,0.8142922718281375,0.820806881015769,0.8167200946576825,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3348, 367], [508, 660]]}"
adult,1,euclidean,5,modified_plurality,never_retain,43959,4883,0.005357599991839379,111.94947470001352,111.95483230000536,0.8267458529592464,0.7644206301193597,0.7411518925496414,0.7513377501238792,0.8204935169343337,0.8267458529592464,0.8227637218314583,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3363, 352], [494, 674]]}"
adult,1,euclidean,7,modified_plurality,never_retain,43959,4883,0.0073349000012967736,112.36415249999845,112.37148739999975,0.8314560720868319,0.7726402072088839,0.7430734803370269,0.7556315975961261,0.8244217515725664,0.8314560720868319,0.8266334124960626,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3390, 325], [498, 670]]}"
adult,2,euclidean,3,modified_plurality,never_retain,43957,4885,0.005491800009622239,112.70092949998798,112.7064212999976,0.8100307062436028,0.7391067493299663,0.7272566748340639,0.7327405764004638,0.8057370447693185,0.8100307062436028,0.8076181479462533,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3292, 423], [505, 665]]}"
adult,2,euclidean,5,modified_plurality,never_retain,43957,4885,0.005278199998429045,113.11426159999974,113.11953979999817,0.8214943705220061,0.7567461606518645,0.7342081650964558,0.7440572926355276,0.8149943734901502,0.8214943705220061,0.8174020500680128,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3350, 365], [507, 663]]}"
adult,2,euclidean,7,modified_plurality,never_retain,43957,4885,0.005313099987688474,112.23868520000542,112.24399829999311,0.8294779938587513,0.7695267220598041,0.7417992430778433,0.7536670374490175,0.822596630487046,0.8294779938587513,0.8248621976197823,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3381, 334], [499, 671]]}"
adult,3,euclidean,3,modified_plurality,never_retain,43958,4884,0.005350499995984137,112.09433910000371,112.09968959999969,0.8220720720720721,0.756274591684212,0.7430599075453057,0.7491723631676981,0.8179567035415585,0.8220720720720721,0.819718682304935,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3324, 392], [477, 691]]}"
